Description,Location,Founded Year,Stage,Employee Count,Sector (Practice Area & Feed),Country,Cohort,Total Funding (USD; In Millions),Valuation (USD; In Millions),Annual Revenue (USD; In Millions),AI_Firm_Status,Age,,,,,,
Provider of online coding classes for children,Jaipur,2016,Seed,31,EdTech > K-12 EdTech,India,2016-2020,1,5.25,0.65,Non-AI Firm,9,,,,,,
Provider of satellite systems and propulsion subsystems for the aerospace industry,Bengaluru,2016,Seed,1,"Aerospace, Maritime and Defense Tech > NewSpace",India,2016-2020,6.21,23.03,1.84,Non-AI Firm,9,,,,,,
The platform offers a mobile trading and analysis superapp,Mumbai,2016,Seed,53,FinTech > Investment Tech,India,2016-2020,10.02,15.76,0.79,Non-AI Firm,9,,,,,,
AI-powered visual-based progress tracking solutions for construction sites,Bengaluru,2016,Series A,2,"High Tech > Drones,
Aerospace, Maritime and Defense Tech > Drones,
Real Estate and Construction Tech > Construction Tech",India,2016-2020,3.85,13.76,0.29,AI Firm,9,,,,,,
An AI-powered real estate data analytics and market research platform,Mumbai,2016,Seed,164,"Real Estate and Construction Tech > Real Estate IT,
Enterprise Applications > Vertical Business Intelligence,
Enterprise Applications > Big Data Analytics,
Enterprise Applications > Data as a Service",India,2016-2020,1.01,5.91,1.51,AI Firm,9,,,,,,
Algorithmic trading solutions for financial institutions,Mumbai,2016,Seed,1,FinTech > Investment Tech,India,2016-2020,0.17,0.18,0.18,Non-AI Firm,9,,,,,,
Online retailer of gold and diamond jewellery.,Gurugram,2016,Seed,9,"Consumer > Fashion Tech,
Retail > Fashion Tech",India,2016-2020,0.05,4.19,0.79,AI Firm,9,,,,,,
Tech-enabled platform for parking management,Bengaluru,2016,Seed,107,"Consumer > Road Transport Tech,
Travel and Hospitality Tech > Road Transport Tech,
Auto Tech > Road Transport Tech,
Transportation and Logistics Tech > Road Transport Tech",India,2016-2020,0.38,4.11,1.32,Non-AI Firm,9,,,,,,
Provider of cab advertising solutions,Mumbai,2016,Seed,42,Enterprise Applications > Tech for Traditional Advertising,India,2016-2020,0.22,0.92,1.01,Non-AI Firm,9,,,,,,
Platform offering software suite solutions to e-commerce businesses,Gurugram,2016,Seed,30,Retail > E-Commerce Enablers,India,2016-2020,1.98,19.21,2.68,Non-AI Firm,9,,,,,,
Internet first brand offering coffee on subscription basis,Gurugram,2016,Series A,112,"Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products,
Food and Agriculture Tech > Online Grocery",India,2016-2020,10.69,16.05,2.69,Non-AI Firm,9,,,,,,
Ed-tech platform offering exam preparation solution,Gurugram,2016,Seed,58,EdTech > Test Preparation Tech,India,2016-2020,1.33,3.23,0.79,Non-AI Firm,9,,,,,,
Provider of AI-powered educational tools and teacher training programs,Bengaluru,2016,Seed,10,EdTech > K-12 EdTech,India,2016-2020,0.84,3.03,0.16,AI Firm,9,,,,,,
Platform offering patient engagement solutions for the healthcare industry,Vijayawada,2016,Seed,24,"HealthTech > Healthcare IT,
Enterprise Applications > MarketingTech",India,2016-2020,1.16,14.49,0.05,Non-AI Firm,9,,,,,,
Provider of plastic waste management and circular packaging solutions,India,2016,Seed,73,"Enterprise Applications > GovTech,
Environment Tech > Solid Waste Management Tech,
Sustainability Tech > Solid Waste Management Tech",India,2016-2020,0.31,12.88,2.73,Non-AI Firm,9,,,,,,
Designer and retailer of men's minimalist clothing,Bengaluru,2016,Seed,16,"Consumer > Fashion Tech,
Retail > Fashion Tech,
Consumer Goods > Apparel Brands",India,2016-2020,0.03,0.35,0.88,AI Firm,9,,,,,,
App-based platform to discover & book PGs/hostels,Hyderabad,2016,Seed,2,"Consumer > Residential Real Estate Tech,
Real Estate and Construction Tech > Residential Real Estate Tech",India,2016-2020,8.36,4.5,0.05,Non-AI Firm,9,,,,,,
Provider of AI-powered robotic solutions for customer engagement and training,"San Francisco,
Bengaluru",2016,Seed,3,High Tech > Professional Service Robots,"United States,
India",2016-2020,1.3,7.5,0.14,AI Firm,9,,,,,,
Manufacturer of cold-pressed wood-extracted oils and natural sweeteners,Mumbai,2016,Seed,37,Food and Agriculture Tech > Online Grocery,India,2016-2020,3.26,6.99,1.37,Non-AI Firm,9,,,,,,
"Cloud-based supply chain management platform for pharmacies, healthcare providers & consumers",Chennai,2016,Seed,2,HealthTech > Pharmacy IT,India,2016-2020,0.2,6.32,1.88,AI Firm,9,,,,,,
SaaS-driven route scheduling software solutions for employee transport management,Navi Mumbai,2016,Seed,106,"Consumer > Road Transport Tech,
Travel and Hospitality Tech > Road Transport Tech,
Auto Tech > Road Transport Tech,
Transportation and Logistics Tech > Road Transport Tech",India,2016-2020,0.2,4.82,3.19,Non-AI Firm,9,,,,,,
Cloud based debt resolution platform,Bengaluru,2016,Seed,1,"Enterprise Applications > Legal Tech,
Enterprise Applications > GRC Software",India,2016-2020,0.03,1.63,0.07,Non-AI Firm,9,,,,,,
Provider of IoT-based manufacturing shop floor monitoring solutions,Pune,2016,Seed,23,"Enterprise Applications > Manufacturing Tech,
Industrial Goods and Manufacturing > Manufacturing Tech,
High Tech > IoT Applications,
Internet of Things - Industry Applications > IoT Applications",India,2016-2020,0.46,1.32,0.45,Non-AI Firm,9,,,,,,
SaaS-based on-demand warehousing and fulfillment service provider,Mumbai,2016,Seed,54,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech,
Consumer > Local Services,
Unbundling of Craigslist > Local Services",India,2016-2020,1.77,4.28,0.51,Non-AI Firm,9,,,,,,
Digital bank for businesses,Chennai,2016,Seed,37,"FinTech > Banking Tech,
Business Services > Digital Transformation Services",India,2016-2020,0.21,1.59,0.23,Non-AI Firm,9,,,,,,
Provider of a chain of diagnostic labs,Ahmedabad,2016,Series A,23,"HealthTech > Healthcare Booking Platforms,
Healthcare > Clinical Laboratory Chains",India,2016-2020,1.54,0.77,0.28,AI Firm,9,,,,,,
Provider of consumer behavior insights and audience activation for digital campaigns,Gurugram,2016,Seed,23,"Enterprise Applications > MarketingTech,
Enterprise Applications > Customer Success Management",India,2016-2020,2.11,9.52,1.78,AI Firm,9,,,,,,
Internet-first brand of handcrafted fast-fashion jewelry for women,Delhi,2016,Series A,43,"Consumer > Fashion Tech,
Retail > Fashion Tech",India,2016-2020,1.25,3.62,1.28,Non-AI Firm,9,,,,,,
Online platform offering insurance comparison solutions,Noida,2016,Series A,15,"FinTech > Internet First Insurance Platforms,
InsurTech > Internet First Insurance Platforms,
Food and Agriculture Tech > Crop Tech",India,2016-2020,10.08,6.72,0.84,Non-AI Firm,9,,,,,,
Provider of web-enabled supply chain management solutions,Bengaluru,2016,Seed,21,"Enterprise Applications > SCM Software,
FinTech > Finance & Accounting Tech",India,2016-2020,0.66,3.35,0.4,AI Firm,9,,,,,,
Online platform offering IT related courses,Bengaluru,2016,Seed,18,EdTech > Continued Learning,India,2016-2020,0.02,0.29,0.26,Non-AI Firm,9,,,,,,
Online retailer of fashion apparel and accessories for women,Delhi,2016,Seed,23,"Consumer > Fashion Tech,
Retail > Fashion Tech",India,2016-2020,3.51,6.79,0.51,AI Firm,9,,,,,,
Provider of cold chain monitoring platform,Bengaluru,2016,Series A,21,"Enterprise Applications > SCM Software,
Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2016-2020,4.37,1.81,0.18,AI Firm,9,,,,,,
AI and cloud-enabled platform offering comprehensive rail operations maintenence and management solutions,Bengaluru,2016,Seed,103,"Travel and Hospitality Tech > Rail IT,
Transportation and Logistics Tech > Rail IT",India,2016-2020,0.42,3.39,0.27,AI Firm,9,,,,,,
"A cutting-edge artificial intelligence and computer vision technology and a leading hyper-personalized beauty AI platform offering experiential modules across skin & aesthetic simulation, comprehensive portfolio of hair & cosmetic solutions, and search & personalization portfolio",Mumbai,2016,Series A,33,"High Tech > Generative AI,
Native AI > Generative AI,
Retail > Beauty Tech,
High Tech > Computer Vision,
Retail > E-Commerce Enablers,
Retail > Brands Tech,
High Tech > Augmented Reality",India,2016-2020,4.77,13.15,0.27,AI Firm,9,,,,,,
Cloud-based workforce collaboration platform for manufacturing industries,Bengaluru,2016,Seed,14,"Enterprise Applications > Manufacturing Tech,
Industrial Goods and Manufacturing > Manufacturing Tech",India,2016-2020,0.92,4.61,0.02,Non-AI Firm,9,,,,,,
Provider of cloud-based supply chain automation solutions,Bengaluru,2016,Seed,89,"Retail > E-Commerce Enablers,
Food and Agriculture Tech > Online Grocery,
Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech,
Retail > B2B E-Commerce,
Retail > Brands Tech",India,2016-2020,2.02,33.45,3.12,AI Firm,9,,,,,,
They provide AI-powered adaptive learning platforms for employee development,"New York City,
Pune",2016,Seed,2,Enterprise Applications > HRTech,"United States,
India",2016-2020,1.14,2.59,0.24,AI Firm,9,,,,,,
Cloud-based network monitoring solutions provider,Bengaluru,2016,Seed,1,"Enterprise Infrastructure > IT Operations,
Enterprise Infrastructure > Enterprise Networking",India,2016-2020,0.02,1.78,0.34,Non-AI Firm,9,,,,,,
Provider of robotic tank cleaning service,Chengalpattu,2016,Seed,12,High Tech > Professional Service Robots,India,2016-2020,0.95,0.91,0.08,Non-AI Firm,9,,,,,,
Provider of last mile parcel delivery services,Mumbai,2016,Seed,2,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2016-2020,0.5,2,0.13,Non-AI Firm,9,,,,,,
Provider of primary healthcare services with annual membership plans,Bengaluru,2016,Series A,81,"HealthTech > Healthcare Booking Platforms,
Healthcare > Clinic Chains",India,2016-2020,9.83,29.57,2.1,Non-AI Firm,9,,,,,,
Provider of modular IoT toy and coding app for kids,Pune,2016,Seed,16,EdTech > K-12 EdTech,India,2016-2020,1.56,4.47,0,Non-AI Firm,9,,,,,,
AI powered customer feedback platform,Gurugram,2016,Seed,32,Enterprise Applications > Customer Success Management,"India,
United States",2016-2020,0.12,25.86,0.45,AI Firm,9,,,,,,
Online aggregator of grocery stores,"Pune,
Mumbai",2016,Seed,11,Food and Agriculture Tech > Online Grocery,"India,
India",2016-2020,0.25,6.96,0.04,Non-AI Firm,9,,,,,,
Provider of farm management and analytics platform for dairy farms,Bhubaneswar,2016,Seed,11,Food and Agriculture Tech > Livestock Tech,India,2016-2020,0.03,0.45,0.01,AI Firm,9,,,,,,
Digital remote patient monitoring tool for providers,Bengaluru,2016,Seed,23,HealthTech > Healthcare IT,India,2016-2020,1,3.88,0.39,Non-AI Firm,9,,,,,,
Peer-to-peer online chit fund platform that enables individuals to save and borrow money,Noida,2016,Series A,6,FinTech > Investment Tech,India,2016-2020,6.68,12.86,0.41,Non-AI Firm,9,,,,,,
Provider of a white-labelled online academy platform,Bengaluru,2016,Seed,32,EdTech > Continued Learning,India,2016-2020,1.37,4.42,0.64,Non-AI Firm,9,,,,,,
IoT-based shop floor monitoring and analysis software solution,Mumbai,2016,Seed,39,"High Tech > IoT Applications,
Internet of Things - Industry Applications > IoT Applications,
Enterprise Applications > Manufacturing Tech,
Industrial Goods and Manufacturing > Manufacturing Tech",India,2016-2020,0.51,7.4,0.46,Non-AI Firm,9,,,,,,
Platform to discover & book camping holidays,Bengaluru,2016,Seed,1,"Consumer > Online Travel,
Travel and Hospitality Tech > Online Travel",India,2016-2020,0.38,2.73,0.35,Non-AI Firm,9,,,,,,
Provider of AR-based tools for virtual collaboration,Ahmedabad,2016,Seed,23,"High Tech > Augmented Reality,
Enterprise Applications > Enterprise Collaboration,
Enterprise Applications > Field Force Automation",India,2016-2020,0.59,4.92,0.14,Non-AI Firm,9,,,,,,
Online holiday tour package booking platform,Bengaluru,2016,Seed,19,"Consumer > Online Travel,
Travel and Hospitality Tech > Online Travel",India,2016-2020,5.22,9.48,0.21,Non-AI Firm,9,,,,,,
Conversational AI powered solutions,Noida,2016,Seed,102,"Enterprise Applications > Customer Service Software,
High Tech > Chatbots,
Consumer > Vernacular Platforms,
High Tech > Generative AI,
Native AI > Generative AI",India,2016-2020,0.01,1.14,1.54,AI Firm,9,,,,,,
Provider of nano-based biological crop nutrition and tech-enabled services,Pune,2016,Series A,134,"Food and Agriculture Tech > Crop Tech,
High Tech > Nanotechnology",India,2016-2020,8.07,14.74,0.52,Non-AI Firm,9,,,,,,
Online store selling branded furniture & home decor,Delhi,2016,Seed,14,Retail > Home Improvements,India,2016-2020,0.05,0.15,2.03,Non-AI Firm,9,,,,,,
Provider of AI-based video-KYC onboarding solutions,Chennai,2016,Seed,41,"FinTech > Banking Tech,
FinTech > RegTech,
FinTech > Insurance IT,
InsurTech > Insurance IT",India,2016-2020,0.89,2.71,0.41,AI Firm,9,,,,,,
Online courses in sales and marketing for graduates and professionals,Delhi,2016,Seed,39,EdTech > Continued Learning,India,2016-2020,0.31,7.03,1.52,Non-AI Firm,9,,,,,,
Provider of a storytelling platform,Delhi,2016,Seed,1,Media & Entertainment > Digital Publishing Platforms,India,2016-2020,0.04,1.09,0.01,Non-AI Firm,9,,,,,,
Manufacturer of lithium-ion batteries for electric vehicles and energy storage,Pune,2016,Series A,49,"Energy Tech > Energy Storage Tech,
Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles,
Auto > Auto Components",India,2016-2020,8.35,21.06,0.28,Non-AI Firm,9,,,,,,
Online platform offering snack bars,Mumbai,2016,Seed,13,Food and Agriculture Tech > Online Grocery,India,2016-2020,1.07,4.22,0.74,Non-AI Firm,9,,,,,,
AI-based enterprise solution for automating claims processing and management for the health sector,Mumbai,2016,Seed,30,"FinTech > Insurance IT,
InsurTech > Insurance IT,
Enterprise Applications > Robotic Process Automation",India,2016-2020,3.97,9.36,1.02,AI Firm,9,,,,,,
AI recruitment tool for interview and evaluate through digital AI recruiter,Delhi,2016,Seed,11,"Enterprise Applications > HRTech,
High Tech > Chatbots",India,2016-2020,0.05,1.3,0.01,AI Firm,9,,,,,,
B2B Marketplace for custom made and modular furniture,Mumbai,2016,Seed,4,"Retail > B2B E-Commerce,
Retail > Home Improvements",India,2016-2020,0.7,1.38,0.81,Non-AI Firm,9,,,,,,
Developer of electric vehicle & telematics technologies,Chennai,2016,Seed,11,"Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2016-2020,0.1,0.6,0.01,Non-AI Firm,9,,,,,,
"Developer of medical-grade monitoring solutions for fetal, maternal, and newborn health",Bengaluru,2016,Seed,54,"HealthTech > Healthcare IT,
Life Sciences > Women Health,
Sustainability Tech > Women Health,
High Tech > Wearable Technology,
Internet of Things - Industry Applications > Wearable Technology,
HealthTech > Disease Self Management,
Retail > Mom & Baby Care",India,2016-2020,3.95,11.79,0.46,Non-AI Firm,9,,,,,,
Provider of AI-powered learning and training solutions,Bengaluru,2016,Seed,1,"EdTech > K-12 EdTech,
High Tech > Augmented Reality",India,2016-2020,0.07,0.87,0.02,AI Firm,9,,,,,,
Provider of freight rate management solutions,Mumbai,2016,Seed,5,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech",India,2016-2020,0.39,2.91,0.67,Non-AI Firm,9,,,,,,
Provider of real-time asset tracking and traceability solutions,Bengaluru,2016,Seed,63,"Consumer > Logistics Tech,
Transportation and Logistics Tech > Logistics Tech,
Consumer > Road Transport Tech,
Travel and Hospitality Tech > Road Transport Tech,
Auto Tech > Road Transport Tech,
Transportation and Logistics Tech > Road Transport Tech",India,2016-2020,0.04,0.18,0.12,Non-AI Firm,9,,,,,,
Provider of news and opinion on Indian and global affairs,Delhi,2016,Series A,101,Media & Entertainment > Internet First Media,India,2016-2020,19.99,32.68,2.19,AI Firm,9,,,,,,
Provider of after-school aerobics programs,Noida,2016,Seed,1,Healthcare > Fitness and Wellness Chains,India,2016-2020,0.32,4.09,0.34,Non-AI Firm,9,,,,,,
"Provider of autonomous, electric pod transportation networks",Bengaluru,2016,Seed,27,"Energy Tech > Electric Vehicles,
Auto Tech > Electric Vehicles",India,2016-2020,4.1,8.52,0.01,Non-AI Firm,9,,,,,,
Cloud based business flow automation solution,"Phoenix,
Hyderabad",2016,Seed,11,"Enterprise Applications > Business Process Management Software,
Enterprise Applications > Digital Transaction Management,
Enterprise Applications > Enterprise Resource Planning","United States,
India",2016-2020,0.03,0.58,0.02,Non-AI Firm,9,,,,,,
Cloud-based business intelligence solution,Bengaluru,2016,Series A,22,"FinTech > Banking Tech,
FinTech > Investment Tech,
FinTech > Alternative Lending,
Enterprise Applications > GRC Software,
FinTech > RegTech,
Enterprise Applications > Vertical Business Intelligence,
Enterprise Applications > Data as a Service,
Enterprise Applications > Big Data Analytics",India,2016-2020,6.24,20.38,0.74,Non-AI Firm,9,,,,,,
Internet first brand of breakfast cereals and dairy free spreads,Surat,2016,Seed,16,"Food and Agriculture > Food & Beverage Products,
Consumer Goods > Food & Beverage Products",India,2016-2020,2.45,8.36,2.45,AI Firm,9,,,,,,
Digital patient relationship management tool for providers,Kochi,2016,Seed,14,"HealthTech > Healthcare IT,
HealthTech > Healthcare Booking Platforms,
Enterprise Applications > MarketingTech",India,2016-2020,2.61,9.49,0.27,Non-AI Firm,9,,,,,,
